id,number,type,price
155,597344,standard,4731
156,35737,standard,12229
157,526001,luxe,11696
158,29359,econom,19476
159,363527,econom,7508
160,341361,luxe,10403
161,237415,standard,6227
162,728276,econom,9920
163,13832,luxe,8273
164,470175,standard,10830
165,474511,luxe,11752
166,930029,standard,5746
167,909759,standard,19830
168,794850,econom,10698
169,150487,luxe,9399
170,134778,standard,16230
171,545866,econom,14559
172,568959,standard,19436
173,537244,luxe,14918
174,58428,luxe,14209
175,606520,luxe,18533
176,603328,luxe,9987
177,539027,econom,16191
178,568480,luxe,5380
179,930100,standard,1874
180,913981,standard,18334
181,834241,econom,17576
182,350420,luxe,8597
183,69492,standard,17445
184,201484,luxe,16355
185,960343,luxe,5561
186,793614,luxe,15576
187,364168,econom,12066
188,739548,standard,19906
189,194280,econom,9680
190,808939,standard,11045
191,170387,econom,8489
192,975113,luxe,4704
193,385431,luxe,19238
194,104990,standard,3939
195,163730,luxe,18404
196,424079,econom,19146
197,455252,econom,17354
198,922238,standard,10658
199,799772,luxe,19054
200,765565,luxe,14795
201,455717,econom,4047
202,387322,luxe,6094
203,545035,standard,10129
204,701694,standard,6904
205,767413,standard,1541
206,130222,econom,6664
207,115208,standard,13703
208,365691,econom,6255
209,379323,standard,14580
210,577146,standard,8208
211,559155,luxe,1775
212,553690,econom,9873
213,394114,luxe,7088
214,449069,econom,15646
215,864255,standard,16882
216,296310,luxe,13244
217,318499,luxe,15586
218,827310,standard,4395
219,657403,standard,5871
220,480922,standard,8534
221,136435,econom,2835
222,974526,luxe,13008
223,528437,standard,8117
224,957571,standard,7642
225,711760,econom,14546
226,405926,standard,7261
227,962353,luxe,15175
228,453901,luxe,12268
229,494755,econom,16246
230,408362,luxe,7240
231,742690,standard,14396
232,495616,luxe,13086
233,956769,standard,16807
234,844692,standard,6045
235,860198,luxe,3345
236,98612,econom,17753
237,623134,standard,8813
238,623785,luxe,19280
239,960035,standard,9672
240,480075,econom,6966
241,573557,econom,8142
242,727227,standard,9255
243,808151,standard,5838
244,156000,luxe,14764
245,119991,econom,9392
246,916422,econom,7601
247,191003,standard,3604
248,824698,econom,5747
249,155059,luxe,16870
250,614428,luxe,12401
251,445228,econom,10494
252,85108,econom,7511
253,689746,luxe,6485
254,235011,standard,14163
255,380970,standard,5733
256,648161,econom,3410
257,234126,econom,1759
258,743352,luxe,14326
259,421489,standard,5986
260,532915,luxe,13745
261,426562,luxe,18313
262,710352,luxe,3439
263,751686,standard,11067
264,633868,econom,4451
265,582312,econom,19626
266,33532,standard,16193
267,53094,standard,6782
268,384723,econom,10399
269,441369,standard,1093
270,681478,econom,13245
271,821514,standard,3375
272,80652,econom,2699
273,179566,econom,12174
274,486356,luxe,11775
275,527522,standard,5351
276,302509,econom,5606
277,440688,luxe,5108
278,667833,luxe,5401
279,156650,econom,3608
280,515628,econom,12263
281,87289,standard,3462
282,483572,econom,1785
283,163408,econom,4991
284,340882,econom,8409
285,293481,econom,12398
286,944911,econom,12840
287,637856,luxe,19568
288,359048,standard,17919
289,514821,econom,4407
290,761976,econom,7727
291,86974,luxe,12468
292,835713,standard,4571
293,77653,luxe,2360
294,159749,luxe,18485
295,548365,econom,17645
296,388467,standard,2300
297,541450,standard,2965
298,785579,luxe,12611
299,533496,standard,7746
300,210648,econom,1506
301,887554,standard,14058
302,473672,standard,15725
303,456903,standard,17355
304,734741,econom,19260
305,517907,econom,4771
306,426492,luxe,16488
307,870964,luxe,1915
308,448902,standard,16365
309,313063,standard,2990
310,43530,luxe,13900
311,696193,econom,18526
312,865107,econom,7915
313,30382,standard,10956
314,385014,econom,16551
315,291451,standard,3196
316,699240,econom,7001
317,18637,standard,19926
318,580780,standard,17194
319,84723,luxe,4230
320,437198,luxe,8336
321,103917,standard,16225
322,78393,standard,16009
323,681804,econom,4894
324,478038,standard,6810
325,511174,econom,6502
326,380997,standard,1187
327,684846,standard,15592
328,229997,econom,13125
329,664551,standard,14433
330,63907,econom,16002
331,446883,econom,1418
332,759079,standard,14598
333,280974,luxe,6914
334,179866,econom,14228
335,61537,econom,4174
336,10355,luxe,13903
337,571785,luxe,14837
338,230610,econom,8257
339,985132,luxe,19298
340,417282,econom,8844
341,406598,econom,10579
342,234706,standard,18902
343,145036,standard,1867
344,687734,standard,10747
345,181466,econom,16742
346,842226,luxe,7064
347,476279,luxe,17718
348,895012,econom,19004
349,477621,luxe,18596
350,901952,luxe,17921
351,406228,standard,13458
352,15630,luxe,7506
353,231310,econom,11737
354,163823,econom,13800
355,74614,luxe,1665
356,841417,standard,4621
357,436775,standard,12238
358,569903,standard,10451
359,886587,luxe,11677
360,520916,econom,4766
361,79784,luxe,6449
362,336690,standard,7713
363,794494,econom,6329
364,567373,econom,16152
365,270124,luxe,11104
366,500573,econom,13670
367,870819,standard,12323
368,840534,luxe,4291
369,85230,econom,1566
370,690486,luxe,8139
371,207897,luxe,7452
372,755505,econom,5790
373,806504,luxe,14202
374,414075,luxe,1085
375,354984,luxe,15362
376,409364,standard,10857
377,841017,econom,14484
378,760648,standard,15534
379,624931,luxe,17507
380,334881,econom,12058
381,438591,econom,15194
382,998416,luxe,4073
383,991454,luxe,3092
384,432921,luxe,15155
385,913463,luxe,5222
386,959885,econom,11598
387,251977,econom,19905
388,848619,econom,16718
389,335411,econom,18225
390,269597,standard,13105
391,954615,luxe,3383
392,134944,luxe,4680
393,64561,econom,19599
394,286739,standard,18514
395,679301,standard,15333
396,530203,luxe,4127
397,834880,luxe,13608
398,760838,econom,12138
399,224874,luxe,3743
400,382680,econom,9796
401,605399,econom,7303
402,138490,standard,9483
403,790614,standard,9949
404,619759,luxe,5650
405,901123,econom,18459
406,574892,standard,2590
407,332123,econom,5527
408,111149,standard,9330
409,9713,luxe,18295
410,826138,econom,16635
411,242851,standard,4621
412,742219,econom,15888
413,144047,luxe,13099
414,483872,standard,3207
415,396372,econom,1519
416,848488,luxe,8475
417,811348,standard,12732
418,97057,standard,9349
419,275905,standard,11026
420,718490,luxe,3181
421,616120,econom,7825
422,245344,econom,16096
423,805017,luxe,1383
424,217936,luxe,16126
425,23766,standard,5344
426,700861,luxe,6627
427,610256,econom,1420
428,177244,luxe,12580
429,866846,standard,2905
430,823219,luxe,18652
431,786788,econom,15856
432,553044,econom,5753
433,436366,luxe,8168
434,80056,standard,5435
435,896023,standard,18395
436,610037,luxe,12650
437,223309,econom,18442
438,551324,standard,2468
439,80865,standard,16522
440,74307,econom,3479
441,616889,standard,18612
442,627104,standard,19158
443,944549,standard,9710
444,508103,standard,9991
445,30392,luxe,7913
446,846266,luxe,12259
447,95526,luxe,7330
448,700447,standard,3772
449,318059,luxe,6049
450,70109,econom,15352
451,222060,luxe,7621
452,331056,econom,9060
453,196762,luxe,7132
454,781807,luxe,3207
455,765070,luxe,15639
456,239497,luxe,12840
457,384076,standard,7603
458,847746,econom,9487
459,107823,econom,13289
460,767746,econom,9227
461,513237,luxe,6413
462,383719,luxe,11421
463,805285,standard,17196
464,820552,standard,1944
465,674146,standard,8109
466,857384,luxe,1453
467,283915,luxe,7094
468,284184,standard,9707
469,795819,econom,11476
470,595111,luxe,15252
471,955102,luxe,15294
472,447822,standard,8838
473,150360,standard,16402
474,816336,econom,18464
475,71280,luxe,15501
476,857194,econom,8536
477,681891,standard,12469
478,901370,luxe,14818
479,447236,luxe,17375
480,462964,econom,18826
481,167381,luxe,10759
482,826673,luxe,4805
483,570585,standard,4023
484,806606,econom,11485
485,968836,econom,13602
486,25992,econom,6749
487,900400,luxe,13529
488,916285,standard,11371
489,957980,standard,5753
490,843478,econom,8578
491,425089,econom,19830
492,30870,econom,8197
493,943717,luxe,5739
494,686432,standard,9708
495,50630,luxe,12349
496,583793,luxe,6069
497,899784,luxe,15935
498,804126,luxe,7435
499,253775,standard,13529
500,266391,econom,9778
501,471426,standard,6290
502,182982,luxe,4994
503,161068,standard,12058
504,850134,luxe,7601
505,208854,luxe,8513
506,650492,econom,9279
507,691099,standard,19712
508,200856,standard,6082
509,29095,econom,19147
510,235489,luxe,1286
511,593216,luxe,16373
512,845979,standard,12786
513,465282,standard,11724
514,616152,standard,13844
515,208471,luxe,9339
516,402377,econom,9606
517,678714,standard,5111
518,262178,econom,17780
519,363017,econom,15904
520,135384,standard,12627
521,755803,standard,15823
522,202021,standard,17011
523,170130,standard,10424
524,322529,luxe,10831
525,94832,luxe,6540
526,118433,econom,18604
527,217311,luxe,7224
528,725561,standard,3562
529,84974,standard,3716
530,8259,standard,2238
531,63716,standard,10003
532,672253,standard,12937
533,45781,luxe,7461
534,537060,luxe,3658
535,565457,econom,2517
536,550467,econom,6506
537,201363,econom,19333
538,596767,econom,4131
539,308668,standard,9490
540,355003,luxe,14719
541,693170,econom,19798
542,885784,luxe,5366
543,155408,luxe,10072
544,724244,standard,19223
545,334941,standard,8312
546,95460,standard,16543
547,411055,standard,3899
548,559554,luxe,16161
549,679029,standard,9934
550,951862,luxe,6541
551,288783,luxe,10188
552,294002,luxe,3086
553,300169,standard,18606
554,896291,standard,6779
555,133774,luxe,14185
556,202468,standard,11705
557,803107,standard,13795
558,171137,econom,2943
559,631308,econom,12486
560,127169,econom,17047
561,281909,luxe,9086
562,427435,econom,19394
563,766128,econom,17729
564,977992,standard,11330
565,887596,econom,6054
566,918521,luxe,12114
567,11074,econom,13445
568,637803,econom,14927
569,913386,luxe,14750
570,858327,standard,3275
571,658720,standard,15585
572,2787,standard,13550
573,22921,econom,9846
574,513759,luxe,18976
575,143562,luxe,9465
576,956542,econom,10905
577,638465,econom,17580
578,334721,luxe,18549
579,703103,standard,11863
580,164435,luxe,6739
581,239158,luxe,14361
582,941231,luxe,8720
583,440120,luxe,4018
584,425736,standard,19040
585,742252,standard,12894
586,170519,econom,14165
587,910343,econom,8080
588,153621,luxe,5773
589,861904,standard,5844
590,35158,standard,12784
591,328112,econom,9762
592,496743,standard,15071
593,156732,econom,5161
594,406950,econom,15420
595,109079,luxe,8384
596,963138,econom,5069
597,633590,standard,9737
598,487934,standard,11479
599,585345,econom,18775
600,612447,standard,9242
601,374104,luxe,9359
602,656702,standard,17566
603,160275,standard,11909
604,747467,luxe,7281
605,243961,econom,14346
606,195407,econom,13519
607,483090,luxe,12002
608,958393,standard,10108
609,832800,luxe,10909
610,586115,luxe,7989
611,358906,econom,2040
612,970771,standard,14305
613,111163,standard,10108
614,166306,econom,11385
615,26700,luxe,11607
616,427881,standard,3936
617,835298,standard,12491
618,249410,standard,5453
619,380894,luxe,3434
620,662441,luxe,10124
621,585610,standard,13646
622,378819,standard,14006
623,528373,econom,13951
624,506942,luxe,2424
625,276694,luxe,19263
626,275378,standard,5896
627,547110,econom,18709
628,290799,standard,14287
629,800415,standard,12590
630,44701,econom,15003
631,332813,econom,5547
632,909419,econom,18605
633,886674,luxe,3720
634,240362,luxe,12779
635,445610,luxe,4552
636,414661,econom,1887
637,656812,standard,14812
638,66735,standard,13268
639,133629,standard,12513
640,707708,econom,18693
641,538230,standard,16968
642,509040,luxe,13553
643,529353,standard,4253
644,880553,luxe,5686
645,370828,standard,10509
646,302180,standard,13224
647,212597,standard,16716
648,990743,standard,10626
649,227333,econom,16499
650,475687,luxe,1161
651,467822,luxe,10947
652,454139,luxe,12326
653,523284,luxe,9218
654,410045,standard,13882
655,630800,standard,2683
656,434019,standard,9738
657,176874,econom,9324
658,935153,standard,3829
659,158932,luxe,4449
660,90291,standard,6950
661,79711,standard,17120
662,623001,econom,18798
663,655771,standard,6308
664,259957,standard,8650
665,683863,standard,14757
666,732806,econom,2752
667,921004,standard,1524
668,452777,luxe,14249
669,195468,econom,7799
670,281665,luxe,11739
671,219382,econom,7087
672,708572,standard,7717
673,74941,luxe,5457
674,814167,luxe,7799
675,431399,econom,18414
676,903477,luxe,18180
677,378438,luxe,9285
678,214192,standard,15251
679,660295,econom,15905
680,65777,econom,13983
681,534499,luxe,7651
682,873194,luxe,13764
683,801551,luxe,13437
684,533688,econom,12414
685,853045,standard,2928
686,443200,luxe,8462
687,50561,standard,7973
688,730289,econom,7445
689,395489,econom,17400
690,510077,standard,6836
691,675349,luxe,8454
692,81113,econom,17200
693,165292,econom,15502
694,422737,standard,5527
695,600516,standard,8409
696,53765,luxe,14159
697,623378,econom,17357
698,396643,luxe,5727
699,91589,luxe,10810
700,421179,econom,13232
701,937941,luxe,15733
702,932885,luxe,16112
703,62880,standard,14102
704,201067,econom,7128
705,185109,standard,1142
706,296430,econom,1018
707,120183,luxe,3320
708,367202,econom,3503
709,880818,econom,18623
710,111753,econom,3587
711,353497,standard,10545
712,261763,econom,15747
713,528634,standard,15456
714,474676,luxe,2053
715,76965,luxe,19506
716,205594,luxe,19036
717,352316,luxe,8224
718,639871,luxe,15208
719,550348,econom,13363
720,851449,standard,16936
721,174770,luxe,7424
722,483375,luxe,8112
723,306275,luxe,5332
724,822679,econom,5134
725,729729,luxe,19021
726,895043,standard,16077
727,347886,standard,14787
728,123815,standard,17791
729,452917,standard,6041
730,755609,econom,18556
731,449799,luxe,1954
732,571901,standard,4587
733,767597,luxe,1437
734,848263,luxe,13609
735,990622,luxe,10410
736,512894,luxe,12026
737,49620,standard,3452
738,544457,standard,8798
739,619631,standard,15940
740,303202,econom,14787
741,17653,standard,16051
742,460977,econom,3173
743,10086,luxe,17229
744,307399,luxe,7460
745,382918,standard,11162
746,780429,econom,13216
747,996480,luxe,10770
748,143192,econom,8654
749,128501,econom,14718
750,997435,luxe,11634
751,830145,econom,16845
752,807915,econom,1735
753,823096,standard,6416
754,392745,econom,12860
755,22216,standard,16757
756,415012,luxe,16562
757,875306,econom,1036
758,394061,econom,17361
759,943684,luxe,15522
760,884080,luxe,10639
761,796883,standard,14635
762,756073,econom,6061
763,835402,luxe,9706
764,44027,econom,4991
765,21222,luxe,4703
766,205843,standard,18797
767,174021,econom,12283
768,958920,standard,8892
769,828987,luxe,3618
770,7624,econom,14953
771,777879,econom,8767
772,48990,standard,19932
773,904776,econom,19873
774,706448,standard,5724
775,960466,standard,4510
776,432215,econom,8064
777,356657,luxe,10914
778,848723,luxe,1663
779,415941,econom,4634
780,773802,standard,18149
781,609979,standard,9440
782,992269,econom,6679
783,200832,luxe,10261
784,184196,standard,10678
785,988886,standard,8944
786,657568,luxe,2606
787,13685,standard,16507
788,594373,luxe,10220
789,990129,econom,5834
790,165594,econom,11282
791,911473,luxe,15531
792,534391,standard,6091
793,690141,luxe,3935
794,266217,luxe,4459
795,846911,econom,2655
796,940710,econom,11464
797,19266,standard,13445
798,428720,econom,9698
799,395324,luxe,3354
800,50444,luxe,2365
801,986466,luxe,17054
802,369003,standard,8998
803,98783,luxe,4479
804,209025,luxe,3521
805,492905,standard,11116
806,712874,econom,7640
807,105887,standard,6722
808,148060,luxe,11838
809,331916,standard,4928
810,767737,standard,1710
811,552974,standard,19486
812,522867,standard,13771
813,915104,luxe,2891
814,58790,econom,15595
815,622868,standard,10106
816,780361,standard,9685
817,242916,luxe,12049
818,907431,econom,19765
819,233462,econom,7838
820,674544,standard,1123
821,176507,standard,6101
822,302102,econom,11384
823,41945,standard,13018
824,339799,econom,9196
825,895342,luxe,10844
826,930899,econom,3785
827,730592,econom,11163
828,94504,standard,16876
829,738394,econom,8543
830,126481,econom,3109
831,908894,luxe,3442
832,894279,luxe,17854
833,250157,econom,14159
834,706869,standard,13547
835,17509,luxe,14261
836,952521,luxe,18103
837,990316,econom,8106
838,957696,luxe,12400
839,176608,standard,6232
840,663984,luxe,14018
841,548692,econom,17665
842,7332,luxe,18867
843,250779,standard,8531
844,947928,econom,13848
845,622709,standard,18603
846,239722,standard,2194
847,317147,luxe,4937
848,901082,standard,15011
849,402106,standard,9789
850,892733,econom,11369
851,650933,econom,10160
852,324077,luxe,12571
853,347619,econom,19415
854,551433,econom,18930
855,986533,econom,1835
856,789623,standard,9796
857,125589,luxe,16176
858,174792,standard,15847
859,620687,luxe,16698
860,873315,econom,18499
861,389609,econom,12398
862,961188,luxe,8603
863,812400,standard,14902
864,34561,luxe,2400
865,172820,econom,9848
866,866730,econom,1113
867,755700,econom,2308
868,46763,luxe,15675
869,872828,econom,3882
870,826253,econom,13965
871,651236,standard,3838
872,503876,econom,17649
873,173014,luxe,14151
874,223801,luxe,7833
875,454983,standard,1970
876,63280,luxe,8162
877,266422,standard,6291
878,649906,luxe,16122
879,620541,luxe,16646
880,967739,luxe,17999
881,43123,luxe,16983
882,78514,econom,17322
883,99279,econom,12528
884,876496,standard,9774
885,49684,econom,9334
886,485900,econom,19225
887,291829,econom,14347
888,901582,luxe,14754
889,850965,econom,16596
890,383660,econom,11595
891,140775,luxe,4843
892,488174,standard,7253
893,168926,econom,16385
894,656188,econom,19688
895,331903,luxe,6538
896,325954,luxe,2632
897,226409,standard,13717
898,753341,standard,8800
899,527309,standard,11386
900,816386,standard,8471
901,988736,standard,6774
902,114533,standard,18014
903,41883,econom,7468
904,38668,econom,1553
905,192351,luxe,10954
906,58522,luxe,11531
907,933203,luxe,3418
908,65943,luxe,17317
909,589231,luxe,8812
910,127593,luxe,2551
911,364622,econom,1136
912,224826,luxe,15523
913,459586,econom,2399
914,215202,standard,7426
915,488108,standard,4098
916,317911,standard,12636
917,967114,luxe,18100
918,757097,econom,3167
919,444670,econom,13609
920,465302,econom,18792
921,903328,econom,17326
922,630034,standard,18900
923,602346,standard,4427
924,342784,luxe,10308
925,233213,econom,2998
926,990352,luxe,19849
927,940878,luxe,18758
928,922497,luxe,12791
929,566991,standard,3211
930,270896,standard,7883
931,86435,standard,11905
932,198610,econom,11102
933,659616,luxe,15482
934,478585,standard,2286
935,570557,econom,7810
936,861916,standard,9486
937,707934,econom,7123
938,971512,econom,11029
939,614397,luxe,2685
940,457585,econom,8222
941,280463,luxe,7790
942,627741,standard,5806
943,295580,econom,15423
944,227460,luxe,4437
945,142406,standard,1232
946,885789,econom,18618
947,438192,standard,18627
948,29934,econom,9146
949,494085,standard,5213
950,392780,standard,16470
951,326528,standard,6404
952,474663,standard,9683
953,334829,standard,19691
954,881958,standard,1180
955,313603,standard,11940
956,557729,standard,16413
957,457834,standard,2312
958,506863,luxe,4603
959,459760,standard,11708
960,967143,standard,3907
961,906477,econom,10785
962,720687,standard,5364
963,433834,standard,16897
964,620929,econom,18412
965,757368,standard,9148
966,372724,standard,1650
967,763841,standard,8183
968,329478,standard,12346
969,437959,standard,14460
970,664563,standard,3050
971,951759,luxe,4323
972,430526,luxe,9490
973,20299,luxe,6095
974,530102,standard,18099
975,540742,standard,10197
976,638588,econom,5633
977,742653,standard,19419
978,553194,standard,16202
979,779993,econom,8188
980,654763,luxe,7792
981,475536,econom,6451
982,480986,standard,8606
983,699800,luxe,19276
984,985395,luxe,16675
985,410162,econom,1687
986,48114,luxe,14955
987,212380,luxe,18023
988,40570,standard,18624
989,688515,luxe,13399
990,944063,standard,10742
991,843230,standard,16174
992,717396,standard,6916
993,638568,luxe,16527
994,162883,standard,19677
995,775468,standard,9041
996,982431,standard,13325
997,746746,econom,8979
998,774542,standard,1383
999,22785,standard,4738
1000,504892,luxe,11371
1001,753067,econom,13152
1002,430329,luxe,6472
1003,458356,econom,1802
1004,146727,standard,10076
1005,205347,luxe,16325
1006,69180,econom,18964
1007,121623,standard,12833
1008,314856,econom,19787
1009,822378,econom,15569
1010,269216,econom,17770
1011,72603,luxe,5718
1012,692913,luxe,17945
1013,71732,econom,12115
1014,246520,econom,18557
1015,570752,econom,1590
1016,554799,standard,18754
1017,492520,econom,9026
1018,256173,econom,3085
1019,18333,econom,12527
1020,285498,luxe,4695
1021,974683,standard,3156
1022,699788,standard,3363
1023,159363,econom,9366
1024,423867,luxe,8613
1025,239001,econom,9378
1026,793154,standard,13159
1027,932050,luxe,18429
1028,858626,econom,17891
1029,300445,econom,18001
1030,705348,luxe,3701
1031,97634,luxe,6735
1032,64684,econom,9336
1033,52927,luxe,17412
1034,840133,luxe,18109
1035,520362,econom,10311
1036,228890,econom,13233
1037,185929,standard,17060
1038,119763,luxe,6727
1039,891177,econom,10606
1040,658746,standard,10339
1041,374837,standard,7804
1042,101589,standard,6807
1043,77461,luxe,1175
1044,55987,luxe,6062
1045,682063,luxe,12901
1046,712863,econom,11553
1047,901850,luxe,16209
1048,931542,econom,16167
1049,268322,luxe,15012
1050,577824,luxe,9418
1051,395648,econom,15889
1052,817820,luxe,5518
1053,841806,standard,8804
1054,802709,luxe,13632
1055,106154,econom,4478
1056,936092,standard,16135
1057,860649,standard,7372
1058,840457,luxe,14960
1059,324369,luxe,1276
1060,292973,luxe,16883
1061,998423,econom,6118
1062,888921,standard,10261
1063,659463,econom,10304
1064,479001,standard,5589
1065,949243,standard,13323
1066,507224,standard,11209
1067,386021,standard,19489
1068,534501,standard,13195
1069,478758,econom,13190
1070,931054,standard,6175
1071,86696,standard,13532
1072,892693,luxe,1278
1073,584017,standard,16010
1074,804734,econom,18026
1075,811129,luxe,9689
1076,842686,luxe,16557
1077,583181,econom,13650
1078,3227,standard,19451
1079,151675,econom,1800
1080,772801,luxe,18157
1081,288810,econom,13001
1082,363504,econom,6369
1083,908583,econom,18749
1084,234596,econom,4921
1085,490106,standard,18273
1086,926914,standard,4358
1087,742561,econom,9210
1088,775811,luxe,10758
1089,981133,luxe,5135
1090,599122,standard,11073
1091,374280,standard,15687
1092,380721,luxe,12442
1093,776833,standard,13838
1094,835914,standard,3658
1095,444751,luxe,11445
1096,127589,luxe,15567
1097,133551,econom,3831
1098,200811,econom,3279
1099,233771,econom,12446
1100,16047,luxe,18359
1101,132234,standard,17605
1102,634522,luxe,3356
1103,976950,econom,11447
1104,693530,standard,14016
1105,411822,econom,12221
1106,84575,econom,13071
1107,531320,standard,1089
1108,733178,luxe,19759
1109,298680,econom,7662
1110,690422,luxe,9749
1111,328802,luxe,4613
1112,188725,standard,18254
1113,862752,standard,13789
1114,294055,standard,3510
1115,577507,econom,19227
1116,405194,standard,4159
1117,250396,standard,17920
1118,525088,standard,13501
1119,265663,luxe,2718
1120,756625,econom,19216
1121,737312,standard,14329
1122,285664,econom,13557
1123,615391,luxe,1534
1124,466458,standard,14483
1125,416588,standard,19144
1126,517239,standard,8561
1127,788233,econom,2869
1128,206918,luxe,10642
1129,94695,econom,15877
1130,690812,econom,4473
1131,674256,econom,4640
1132,553412,econom,5506
1133,649799,standard,18945
1134,524154,luxe,2677
1135,401010,standard,12004
1136,169248,econom,15983
1137,824583,econom,19283
1138,421507,econom,11684
1139,881515,luxe,2032
1140,604549,luxe,4450
1141,463555,econom,16660
1142,81210,econom,2037
1143,261735,luxe,9535
1144,629718,econom,2258
1145,766262,luxe,18343
1146,556041,standard,6643
1147,701777,standard,11410
1148,95893,luxe,4737
1149,697965,econom,5211
1150,72351,luxe,18110
1151,976201,econom,19556
1152,798795,standard,12219
1153,454230,econom,10951
1154,217769,econom,18101
1155,980467,standard,6009
1156,427020,luxe,5674
1157,552072,luxe,10617
1158,140434,econom,4904
1159,454673,luxe,2701
1160,333722,econom,5704
1161,132387,standard,16343
1162,971379,luxe,11423
1163,523732,standard,12371
1164,254803,econom,10379
1165,864262,luxe,13498
1166,561629,luxe,9436
1167,433205,luxe,14160
1168,993806,econom,12118
1169,124197,standard,18621
1170,39187,standard,1700
1171,980926,luxe,2762
1172,335632,econom,9160
1173,658515,luxe,18536
1174,53780,econom,1626
1175,835393,luxe,14499
1176,265339,standard,17911
1177,744938,econom,13482
1178,895418,standard,11497
1179,629129,luxe,18751
1180,539469,standard,16139
1181,25391,econom,14101
1182,738342,standard,3629
1183,138410,luxe,2989
1184,392377,luxe,12510
1185,94424,luxe,15237
1186,368805,luxe,13657
1187,780370,econom,3590
1188,115858,econom,13018
1189,623291,econom,5015
1190,362309,luxe,7318
1191,151113,luxe,1577
1192,536166,econom,2136
1193,561095,standard,10402
1194,850248,econom,12044
1195,94952,econom,9342
1196,368746,standard,11954
1197,498772,econom,16216
1198,639701,luxe,10732
1199,810730,standard,13436
1200,354835,luxe,12399
1201,802570,standard,10767
1202,198809,luxe,17423
1203,198136,econom,16121
1204,968996,standard,2741
1205,616834,econom,16462
1206,22736,luxe,3005
1207,723265,econom,5375
1208,783385,luxe,15540
1209,530461,econom,7700
1210,128086,luxe,6531
1211,83785,luxe,11378
1212,653015,standard,15719
1213,181739,econom,17214
1214,516999,econom,5188
1215,819457,econom,7224
