id,guest_id,date_start,date_end,room_id
66,286,2015-06-14,1993-03-29,29503
67,3253,1997-11-03,1984-08-19,58239
68,1045,1987-06-03,2007-01-29,28312
69,2096,1980-04-10,2019-03-17,43348
70,1842,2011-04-20,1973-05-04,32591
71,4688,2011-03-04,1992-12-05,3726
72,3165,1998-08-04,1975-09-10,93121
73,1423,2012-05-28,1993-08-23,64941
74,1006,2019-12-20,1994-04-08,36864
75,129,2017-03-13,2022-11-14,17242
76,3567,2010-11-06,1986-10-22,83396
77,2443,2002-11-11,2000-11-22,90327
78,2788,1977-07-26,1999-02-08,84790
79,1312,2005-10-30,1980-12-09,47171
80,4634,1978-07-12,1980-09-07,99545
81,3294,1987-01-22,2020-06-23,50078
82,3216,1986-03-07,2003-10-13,49526
83,1870,1998-01-18,2000-03-15,90794
84,4396,2008-02-11,2014-11-04,24519
85,4148,1993-01-26,1978-11-20,51177
86,4739,1971-03-05,1998-02-15,11868
87,1673,1994-07-25,1993-02-05,47325
88,3500,1980-06-25,1990-05-17,90114
89,17,1987-05-09,2007-06-25,86451
90,3041,1984-05-13,2023-05-11,54600
91,1335,2014-04-07,1990-05-13,64447
92,175,2010-05-06,1984-04-15,25984
93,340,1997-08-04,1972-07-09,42809
94,2155,2013-12-22,2012-09-24,26977
95,2706,1998-09-13,2008-09-30,41359
96,4499,2005-10-23,2023-03-22,41002
97,655,2020-02-13,2008-11-10,35561
98,3883,2016-11-24,1987-11-17,57865
99,4448,1994-11-16,1980-02-08,1950
100,1850,2008-06-12,2000-11-02,96770
101,4316,1980-05-28,1974-09-10,30084
102,611,1998-09-09,2021-03-03,8103
103,194,2008-05-14,1992-05-09,66120
104,175,1994-10-20,1982-01-11,19523
105,1175,1988-08-21,2004-09-25,27162
106,54,2022-02-09,1980-09-16,27715
107,4540,1975-08-31,2015-03-22,81056
108,4149,2020-10-25,1999-06-11,46570
109,655,1984-03-03,2016-10-05,66644
110,906,2013-07-19,2023-04-21,9027
111,1684,1988-11-17,1994-04-26,41368
112,3534,1982-06-22,1971-07-16,75731
113,458,2015-07-21,1973-12-08,29397
114,2624,1987-01-28,1970-02-07,66589
115,2151,1979-07-31,1976-07-23,74133
116,4565,1973-01-15,1986-09-11,52604
117,4085,2003-10-03,2019-01-31,29692
118,2631,2007-02-02,1990-04-15,61581
119,4812,2014-09-09,1985-09-04,74130
120,3755,1972-04-03,2019-10-09,63468
121,3433,2005-01-02,2008-02-27,94089
122,8,2013-10-04,1978-12-08,45629
123,317,1989-04-01,1972-07-10,46738
124,574,2009-07-20,1993-02-21,70206
125,165,2004-06-01,1998-01-31,48183
126,337,2004-04-18,1987-02-16,4948
127,127,1974-12-10,2003-10-11,6829
128,2510,2011-08-09,1971-03-27,10853
129,1285,1972-06-14,2011-02-16,18372
130,2942,1973-04-17,1973-12-23,29591
131,3122,2000-11-04,1977-09-11,34706
132,3772,1990-09-30,2000-06-08,59644
133,2106,2002-05-06,1977-08-28,3176
134,4771,1989-07-11,1976-02-23,14742
135,3458,2002-05-29,2002-04-22,56792
136,306,1974-12-11,1988-06-14,47266
137,2492,1984-02-20,2008-10-16,77961
138,3984,1973-05-03,2019-04-02,25446
139,649,1984-03-21,2004-01-01,31303
140,850,1984-11-09,1989-02-24,66798
141,4149,2009-02-20,1992-01-12,21573
142,3593,1978-10-19,1987-12-26,26993
143,3997,1994-11-27,2015-03-30,67487
144,1128,2007-07-01,1978-06-07,34769
145,4543,1996-02-01,1980-03-10,50180
146,4657,2021-04-28,1977-06-11,83448
147,3257,2014-12-04,1990-03-07,98559
148,1276,2001-03-12,1977-03-30,63843
149,857,2013-04-02,1971-09-11,25224
150,997,2007-09-08,1971-01-06,93876
151,714,2002-01-24,1972-01-03,15628
152,3566,1996-10-06,1973-03-20,8145
153,4257,2013-11-27,1991-02-12,34839
154,4272,1978-08-30,2000-03-02,74161
155,828,2011-02-17,1977-10-06,88537
156,4852,1974-12-26,2006-02-16,28460
157,2422,2008-04-14,2004-12-10,93026
158,4668,1975-09-25,1985-11-28,72314
159,4311,1994-03-02,2010-07-10,32077
160,3661,2003-07-13,2006-01-21,14686
161,4664,1994-04-05,2014-08-21,34136
162,579,2022-10-12,2001-02-15,2299
163,4491,2013-04-11,2020-07-13,20521
164,2417,2017-07-24,1998-10-05,69253
165,3499,2002-06-02,1992-10-25,19100
166,3285,1975-06-05,2020-12-07,15482
167,3247,1987-10-24,1988-12-23,55949
168,957,2010-07-11,1991-01-05,78222
169,3627,2007-08-26,1990-10-06,35326
170,772,1999-06-18,2021-03-16,10017
171,3148,1990-08-08,1983-01-22,16715
172,2689,1985-02-09,1980-01-23,13580
173,941,2017-09-17,1995-08-26,46558
174,1673,2012-08-19,1994-08-21,86911
175,761,1982-04-26,1989-11-30,27748
176,4473,2011-06-27,2014-04-01,45263
177,2144,1983-08-07,1995-09-16,71549
178,4990,2022-04-19,2014-11-26,17257
179,304,1993-06-11,1984-05-19,50963
180,1511,2000-09-04,1980-02-07,68846
181,2442,2015-01-18,1978-04-07,69435
182,1314,1988-02-09,2020-04-10,58445
183,2711,2010-07-23,1986-05-23,24930
184,230,1973-09-14,1977-02-23,76003
185,1883,2004-03-05,2014-12-07,63639
186,4940,1996-10-27,1988-08-16,64727
187,4224,2000-01-06,1986-04-10,47970
188,2758,1986-11-24,2010-06-19,16942
189,2762,1973-12-23,1975-04-03,84100
190,55,2009-11-09,1992-03-23,16036
191,4281,1993-10-09,2016-08-05,57194
192,4154,1980-09-06,2005-10-27,50951
193,881,1977-03-02,2012-08-15,32587
194,4487,2015-04-29,1972-09-22,31498
195,2716,1994-04-11,1972-05-27,21450
196,1746,1989-02-23,1985-10-26,61715
197,4922,2015-10-30,1982-05-22,83881
198,897,1973-10-23,1990-05-12,63539
199,789,1971-12-05,1981-12-06,22462
200,4913,1974-04-02,1984-03-05,86232
201,4109,2021-07-06,2013-05-20,33643
202,362,1994-09-07,1989-05-09,77026
203,4917,1985-10-25,2004-10-22,44849
204,2948,1986-03-09,2009-03-06,93388
205,3904,1970-06-25,1971-06-10,21545
206,1683,2001-12-11,2018-05-30,27020
207,289,1982-05-07,2002-03-04,75229
208,1725,1999-04-18,1989-04-16,95700
209,3022,2018-09-24,2013-04-17,19549
210,3296,2014-08-13,2009-10-14,81708
211,1425,2015-03-15,2006-05-15,62477
212,426,2005-08-16,1974-06-26,23700
213,104,1991-12-12,1978-11-18,93366
214,1401,2004-04-10,2021-02-03,43335
215,2811,2023-05-02,2021-10-27,85574
216,964,1970-11-19,1994-10-26,42661
217,3141,1978-09-26,1991-04-22,63928
218,2436,2000-11-25,2006-09-15,90412
219,1155,2002-10-19,2000-02-21,20324
220,2201,2007-12-10,2021-10-26,49965
221,4899,1971-10-06,1976-02-08,17972
222,4291,2016-07-09,1990-07-17,74396
223,699,2010-05-19,2000-10-12,3450
224,4266,1984-09-18,1970-08-21,25076
225,3150,2016-11-14,2014-04-01,53359
226,3275,1978-09-15,1979-09-23,44123
227,2233,1989-05-28,2003-06-26,93124
228,4932,2017-07-05,1979-06-06,89290
229,449,1999-04-04,2022-02-10,41964
230,4207,2003-05-27,1985-09-15,1583
231,3898,1989-10-25,1997-04-05,37091
232,4912,2009-05-22,2010-06-21,31873
233,122,2000-07-02,2017-10-22,47106
234,3722,2014-09-23,2010-10-21,36090
235,2261,1991-06-06,2008-06-22,11543
236,436,2017-11-06,1986-05-06,29488
237,61,1971-07-20,2006-03-12,12929
238,3703,2011-10-13,1992-08-18,40021
239,800,1982-11-23,2014-01-15,76910
240,4568,2015-09-22,2012-11-03,96348
241,4199,1989-08-26,1992-03-25,21055
242,2614,2000-06-20,1986-05-04,24290
243,3877,2016-08-02,1999-12-11,56202
244,145,2022-02-22,2000-09-03,92097
245,2785,1979-08-24,2016-07-14,97944
246,740,1983-03-02,2019-11-23,43588
247,3428,1975-02-22,1997-03-05,20974
248,4957,2011-10-21,1989-07-10,18336
249,2955,2018-05-01,1996-07-05,54719
250,1907,2001-11-05,1979-08-01,65707
251,146,1976-04-02,1990-12-09,50583
252,1436,2013-03-12,1971-09-14,38001
253,3927,2020-06-19,1990-10-31,65650
254,2512,2022-01-07,1999-08-07,56943
255,1380,2006-03-18,2015-04-28,71776
256,3564,1996-03-31,1990-10-23,91564
257,977,1995-05-04,2013-11-19,14860
258,4061,1991-12-09,2017-07-14,58416
259,27,1976-08-12,2009-11-12,842
260,3225,1996-09-03,2017-03-15,25947
261,2365,1978-04-09,1994-09-05,84324
262,2204,2012-10-17,1998-07-03,54910
263,2543,1995-02-20,1992-02-20,56260
264,4749,2022-02-03,1972-03-13,74458
265,1746,2015-10-22,1972-03-17,42773
266,867,1993-11-06,2015-10-01,96479
267,2316,1998-03-26,1987-10-18,7797
268,213,1986-10-26,1987-01-06,86448
269,1784,1990-09-27,1983-07-28,83111
270,1851,2012-02-23,1972-01-21,88455
271,1466,2012-12-25,1985-05-01,83773
272,983,1974-10-22,1997-12-17,56217
273,340,2012-03-31,1987-11-18,69014
274,719,2009-02-24,2006-12-24,63349
275,1900,1975-08-17,1970-09-21,94291
276,3999,1990-07-08,1974-02-11,24521
277,587,1989-09-29,2013-01-22,24361
278,4554,2020-04-18,1977-09-22,73049
279,50,2018-11-08,1992-11-02,60926
280,3716,1991-05-08,1994-02-17,55154
281,3077,1976-09-14,1988-12-04,91295
282,4509,1974-09-16,2012-07-24,3279
283,4028,1977-12-03,1999-08-19,12995
284,3733,2020-07-10,1981-05-15,87857
285,493,2022-06-08,1994-12-14,43635
286,897,1984-01-11,1995-03-16,96088
287,2751,1978-06-02,2000-08-21,98032
288,4921,1981-03-28,2020-09-03,21523
289,3131,2000-05-13,1976-06-24,96307
290,3969,1994-01-23,1990-12-04,25971
291,615,2020-07-27,1983-05-07,88478
292,2741,1988-04-15,1985-11-18,56602
293,2783,2020-04-18,2017-01-07,47147
294,4839,2020-02-04,2006-01-21,89977
295,1038,2007-06-28,1992-07-26,74768
296,1598,1988-04-05,2007-09-18,47018
297,3888,2001-04-10,1976-07-14,94280
298,3644,2013-06-08,2022-09-22,13556
299,3450,1972-11-22,1979-09-02,81504
300,1210,2014-03-20,2003-06-23,72597
301,3193,2009-04-23,2005-08-22,28406
302,3243,2012-10-02,2007-02-16,75470
303,636,2014-09-27,1996-02-03,34570
304,1947,2005-12-15,2019-09-16,51379
305,3516,1993-02-03,2009-02-08,98718
306,2549,2011-04-09,2022-12-20,92930
307,3746,1984-03-30,2016-11-14,94747
308,932,2018-02-07,2012-07-26,85951
309,3217,1977-12-16,1986-05-12,99916
310,2131,1992-09-13,2012-11-09,95107
311,4238,1977-05-06,2004-02-15,19713
312,4629,2020-03-26,1979-06-08,73553
313,168,2022-02-12,1972-01-20,14629
314,4903,2011-08-14,1975-09-20,92260
315,4186,1998-10-19,2018-01-09,44672
316,3382,2023-05-06,2018-07-15,98209
317,3329,2018-11-02,1979-12-30,39561
318,2250,2021-12-10,1984-06-23,41680
319,1282,1984-07-20,2009-05-16,39563
320,2613,1972-03-10,1985-09-15,26180
321,1741,2013-06-30,2018-02-09,50366
322,3910,2009-11-15,2011-04-26,41970
323,4330,2018-05-03,1995-12-13,54261
324,2968,1997-05-29,2015-09-03,73561
325,2184,1974-03-15,2012-12-02,87802
326,4223,2011-05-03,1973-09-25,72879
327,814,1975-03-09,1978-07-13,77142
328,3121,1990-07-26,2004-09-15,11279
329,3211,2009-08-16,1977-08-07,65220
330,498,2019-08-17,2007-12-27,49369
331,461,1973-07-26,2016-08-30,5953
332,4031,1996-06-08,1998-09-19,41139
333,2363,1978-06-20,1984-03-01,44829
334,2580,2013-12-06,2008-12-21,79725
335,2683,2009-11-11,1977-07-16,30002
336,2068,2022-09-05,1987-09-07,36295
337,1287,1974-04-28,2022-07-24,54121
338,1781,1970-08-01,1976-04-04,5881
339,58,2016-04-14,1991-03-09,82557
340,3725,1990-09-27,1971-03-26,24280
341,4124,1978-06-27,2017-08-14,37555
342,1393,1975-05-09,1987-03-25,58441
343,4997,2006-04-18,1998-10-17,75272
344,4066,2007-04-10,1990-12-06,96881
345,372,2007-03-08,2021-01-13,73505
346,4304,1984-10-31,1978-02-18,57494
347,4380,2011-06-27,1970-01-29,84485
348,3708,1970-07-16,1995-08-17,32141
349,117,1977-11-05,2009-05-13,63339
350,4897,2010-03-11,1994-05-05,62701
351,924,2014-01-10,1972-06-14,61518
352,4789,1999-11-04,1977-06-11,90427
353,1553,2018-03-14,1973-10-24,54455
354,147,2008-05-28,2011-06-16,97766
355,4719,1999-08-26,1996-11-27,73335
356,1766,1999-12-09,2016-03-21,37661
357,819,1993-01-13,2022-02-02,2414
358,967,2005-09-24,2002-07-30,28071
359,1028,1992-10-16,2014-04-25,50655
360,1794,2016-10-17,1992-02-14,54348
361,1076,1994-06-03,2021-09-08,98505
362,2180,1999-05-14,2012-07-23,76783
363,1449,1978-05-08,1991-06-03,22581
364,3738,2018-02-03,1996-07-06,9314
365,1266,2015-10-18,1973-02-19,61730
366,163,1999-02-02,2010-06-12,90248
367,2500,2004-10-22,1996-05-08,42234
368,4800,2014-12-19,2009-07-17,68073
369,337,2019-02-20,2012-12-26,5353
370,4332,1983-05-15,1974-04-22,2184
371,2319,2001-10-25,1985-03-01,72103
372,2688,1996-07-12,2004-07-12,20813
373,137,1982-04-27,1988-12-01,73350
374,4199,1999-08-09,1972-02-19,68545
375,480,1982-08-23,2009-09-02,5431
376,3638,2011-09-23,1973-01-24,94285
377,4493,1974-02-08,1971-03-07,27742
378,2694,1974-12-30,2004-12-30,78649
379,3585,1980-11-06,2005-10-22,42749
380,918,2003-12-07,1993-04-03,22029
381,369,2014-03-15,2009-03-17,39193
382,3015,2022-04-12,1992-10-27,97322
383,3097,1976-02-06,2008-08-26,54491
384,3640,1976-11-10,1973-03-30,8277
385,1138,2017-01-06,1998-06-29,90723
386,4085,2016-09-13,1975-02-25,55900
387,3776,1987-06-09,1974-04-08,21681
388,4212,1991-06-22,1986-03-02,61331
389,1541,2010-06-28,1974-05-06,87735
390,3621,1974-05-25,1994-09-16,98188
391,496,1998-09-08,1986-10-09,64660
392,3112,1972-09-14,2002-03-13,99804
393,3115,1982-06-28,2019-10-12,20852
394,366,1990-04-05,1977-03-07,30991
395,1734,1985-12-31,1995-11-10,63123
396,2500,1978-05-15,2010-12-06,1559
397,1235,1984-08-23,2020-04-24,34573
398,3659,1970-09-30,1999-08-18,24644
399,4496,1987-07-20,1987-03-21,16271
400,720,2021-01-13,1991-05-04,6168
401,4026,1986-10-19,2010-11-08,45131
402,3936,1987-07-11,1984-09-04,93438
403,1103,1998-05-27,2000-08-29,95059
404,2673,2013-01-27,2016-06-16,89097
405,830,2006-08-18,1979-07-13,88375
406,4750,1978-10-08,1992-03-04,59711
407,2127,2010-05-10,1974-12-12,92198
408,2015,1970-11-19,1984-05-06,22163
409,1161,1996-04-19,1972-01-12,94351
410,1851,2019-04-30,2000-08-02,81947
411,4879,1971-05-23,2022-06-20,6174
412,193,1989-01-06,2010-09-20,63456
413,903,2017-12-25,1980-11-16,43418
414,4716,1990-10-02,2012-12-12,15491
415,4099,1972-12-31,1974-06-10,47906
416,176,2022-04-01,2002-12-08,64663
417,3394,2007-08-08,2005-02-09,90553
418,2082,1986-11-13,1981-03-12,59273
419,186,2020-12-03,1978-08-10,39624
420,1349,1984-05-01,1977-08-26,3864
421,4489,1997-02-05,1998-10-25,91709
422,2103,2010-08-22,1994-07-09,58570
423,4739,1978-02-25,1975-09-13,10928
424,570,1995-05-18,2005-06-28,26335
425,4106,2017-03-14,1984-01-23,35205
426,2594,1970-12-31,1984-09-01,74559
427,4198,1976-02-29,2014-04-16,72954
428,2481,2017-02-26,1987-10-22,44154
429,1822,2012-04-09,1997-01-08,34518
430,3920,1982-06-05,1990-04-24,61164
431,1021,1970-10-09,1983-09-30,43175
432,3709,1994-07-09,1972-01-26,27477
433,633,1985-06-13,1994-10-26,56231
434,3240,2016-11-29,2022-09-02,47357
435,3580,1980-04-14,1986-02-28,32179
436,1301,2011-06-06,2018-08-19,42979
437,2921,2006-10-01,2019-06-12,70390
438,1652,1995-09-10,1991-02-03,83319
439,4698,2017-04-04,1989-10-29,39581
440,4735,2015-04-05,1994-03-04,67470
441,4053,1974-07-23,1972-05-16,85593
442,2221,2020-05-22,1989-05-20,62493
443,3388,1970-01-12,2008-05-01,27224
444,293,1993-03-13,1992-02-25,14052
445,3215,2010-08-21,1992-05-22,76151
446,1496,1971-07-09,1989-06-28,69429
447,2942,1998-11-01,1975-03-21,21098
448,3873,2022-07-15,2011-03-09,64913
449,2834,1976-04-01,2017-12-17,64082
450,1937,2000-05-15,2014-09-06,10131
451,3445,1998-11-19,2009-03-13,63229
452,4568,2009-12-03,1973-04-24,44585
453,3705,1973-09-15,1990-11-05,17409
454,1838,1983-03-30,2022-12-12,62101
455,1658,1996-01-23,1990-08-28,77347
456,1808,1980-08-25,2006-03-18,8693
457,1280,1991-05-15,2011-02-22,94194
458,939,1999-03-27,1999-04-13,71582
459,4430,1988-05-12,2004-03-07,47443
460,3666,1984-05-24,1983-05-21,5791
461,4246,1977-02-20,2008-11-01,28284
462,2042,1999-06-19,1993-01-19,5434
463,2598,1997-10-29,1992-06-18,46827
464,1493,1970-07-24,1982-05-22,52783
465,3903,2009-03-25,1971-11-20,67673
466,3245,1990-09-26,1984-09-05,54913
467,3258,2012-05-15,1975-09-23,82317
468,4784,1994-05-16,1981-06-11,64301
469,1508,1990-09-23,2022-09-13,84052
470,2942,2011-03-25,2022-05-21,7337
471,171,1987-05-19,1995-10-27,45189
472,4304,1999-09-25,1972-02-24,76124
473,431,2004-03-10,2019-03-21,42227
474,2070,2018-06-30,2008-03-02,46407
475,1461,1999-03-09,1988-12-25,39745
476,4052,2022-11-24,2002-12-25,58652
477,3947,1980-06-10,1992-03-23,45622
478,3803,1991-08-02,2018-04-11,21777
479,3131,1972-08-22,1976-03-01,1544
480,4936,1983-02-05,2012-04-17,13175
481,2104,1993-06-29,2019-05-03,10283
482,3987,1996-12-06,2008-09-15,20591
483,68,2020-12-22,2011-07-09,92740
484,1580,2010-07-22,1974-04-24,86082
485,1934,1978-03-31,1975-07-01,81761
486,4913,1973-10-07,2006-10-24,75838
487,4977,2012-10-15,1977-07-02,29503
488,1416,2011-04-22,1974-09-01,83859
489,1708,1987-10-17,1988-01-16,51236
490,4506,1997-04-03,2015-09-14,6426
491,3528,2014-08-22,2009-06-01,70246
492,4811,1978-10-24,2016-08-15,2589
493,4900,2017-12-13,1982-08-21,24451
494,4485,1996-09-17,1988-04-09,41338
495,1014,2009-05-10,1971-01-05,7955
496,805,2006-03-16,2005-02-13,43919
497,3001,2014-02-08,1971-08-29,41502
498,1094,1978-06-06,2007-08-20,24739
499,608,2019-11-01,2019-05-29,32858
500,1340,2017-02-15,2017-06-23,43893
501,2335,2021-07-22,1992-06-06,69988
502,2924,1971-06-03,1984-04-06,59501
503,3177,1991-08-03,2018-04-27,73505
504,1669,1992-06-08,1974-08-22,81795
505,540,2004-01-05,1982-12-07,69859
506,1653,1999-05-19,1989-06-26,58254
507,1860,2005-04-15,1983-07-11,86856
508,3764,1984-08-20,1988-06-11,80845
509,42,2017-04-03,2009-09-20,54122
510,4132,1974-04-06,2011-03-23,87270
511,2519,1984-06-14,1979-10-24,3723
512,2737,2011-12-02,1989-11-12,23301
513,3624,1983-04-30,1995-01-27,24978
514,2796,1976-09-16,1977-12-27,82803
515,3330,1979-04-10,1975-05-19,18531
516,4431,1975-04-10,2014-06-05,94706
517,1107,1999-08-23,2020-01-07,88030
518,2872,2004-02-06,2007-02-13,95196
519,938,1987-04-04,2021-11-28,1299
520,3624,1978-04-17,2018-04-04,51888
521,1779,1972-12-23,1975-05-08,14164
522,4550,1998-05-18,1999-03-19,98537
523,4945,1997-11-03,1972-04-12,19927
524,2918,1990-03-28,2002-06-11,7331
525,1689,1985-04-30,1973-09-30,19999
526,415,1996-03-19,2009-12-03,84111
527,652,1989-08-26,2010-05-21,51739
528,3252,1973-07-17,2016-09-13,75252
529,3846,2008-03-21,1973-10-14,34837
530,1389,2016-06-05,1995-06-01,57354
531,1025,2014-04-01,1983-05-04,97231
532,2811,2006-04-22,1976-01-27,22114
533,1668,1989-05-21,1996-01-18,52511
534,2406,1977-09-26,2004-07-03,19036
535,2685,1991-11-07,2021-05-25,59997
536,3692,2023-04-07,2004-05-03,68654
537,2891,2002-06-22,2019-11-27,65884
538,2588,2003-11-04,2016-02-28,80154
539,4570,2021-04-07,1978-05-17,28641
540,2471,2019-02-20,1990-09-08,58456
541,2251,2005-01-04,2004-05-01,19047
542,2890,2021-01-02,1979-07-09,43841
543,918,1982-07-13,2015-02-25,23147
544,2558,2001-05-13,2016-07-16,15915
545,612,1981-08-28,2011-11-02,40981
546,3193,2022-10-23,2002-02-10,29495
547,391,2015-01-15,2022-12-31,3520
548,4631,2014-10-05,1979-02-17,7314
549,2887,1972-11-01,2010-05-06,3415
550,4716,1984-04-10,1995-10-29,8283
551,2331,2013-10-26,1982-05-16,92163
552,2624,2019-07-27,2005-07-03,85779
553,2909,1975-08-08,2022-03-30,32823
554,3937,1986-04-21,1995-03-22,83571
555,2603,1996-12-16,1991-08-24,65722
556,943,2019-05-05,2018-10-29,95680
557,4575,2018-09-01,2007-11-19,89200
558,3476,1997-10-28,1980-07-21,74007
559,4175,2000-01-27,2021-01-13,5889
560,3426,1991-04-06,1975-10-17,18279
561,1535,2016-11-15,2019-10-20,60070
562,925,2021-08-31,1977-06-03,65814
563,2127,1979-02-13,2013-11-03,98142
564,3839,2004-05-05,1986-05-01,47474
565,2952,2016-09-04,2002-03-07,12811
566,3437,1988-08-01,2013-09-06,38150
567,4082,2019-05-19,1973-09-07,60630
568,4964,1979-11-05,2010-07-09,71995
569,3819,1999-10-03,1979-01-16,6718
570,1216,1993-01-26,2016-07-07,8258
571,1007,1973-06-01,2002-10-06,28469
572,3852,1973-04-16,1983-12-24,10461
573,3903,2007-08-11,1973-12-09,83296
574,4501,1976-12-13,2022-05-11,59862
575,195,1979-03-25,1982-09-14,82013
576,2630,2017-02-16,1971-07-06,29565
577,2244,1978-03-25,1973-09-17,87464
578,2991,1994-12-04,1973-02-15,39332
579,4090,1978-11-25,1989-02-25,24905
580,4676,1998-09-26,2008-12-23,88519
581,4424,2009-06-06,1993-12-29,21807
582,981,2021-10-15,1970-09-18,63097
583,443,1992-09-24,1996-04-20,77553
584,3500,1979-09-20,1986-08-05,52197
585,4414,1988-12-19,2000-06-02,17519
586,1755,2000-08-21,1992-04-14,13386
587,55,2020-02-23,1987-03-30,87950
588,861,1988-07-12,1983-04-24,51862
589,4917,2021-10-24,2012-10-17,61272
590,1134,1991-10-27,1997-11-22,39507
591,1580,1997-11-03,1980-09-27,13545
592,4625,2018-01-30,2000-05-25,79308
593,667,2012-05-12,1981-05-11,81820
594,1105,2019-06-13,2007-02-08,90897
595,1001,2016-06-13,2005-01-22,31789
596,1799,1988-07-25,1973-06-06,80925
597,2518,1981-05-03,2003-07-15,34931
598,1263,1999-05-18,1977-11-26,66362
599,4996,1987-05-10,1980-06-29,3148
600,4459,1980-07-12,2022-12-22,71759
601,3366,1970-12-02,1985-12-05,63017
602,753,1990-12-16,1984-08-23,69891
603,2129,1976-03-08,1972-10-14,19191
604,3973,1977-06-27,1982-01-14,39252
605,2421,2012-07-12,1986-02-05,1035
606,4579,1991-06-12,1987-04-19,86180
607,4954,1978-03-12,1974-12-08,4497
608,4133,2019-06-22,1982-09-20,4709
609,128,1979-03-21,1983-12-28,34410
610,2164,2016-07-21,2008-07-02,73769
611,4242,1991-02-05,2020-01-11,81957
612,3353,1980-01-09,1995-12-18,5631
613,3793,2017-12-13,1989-02-18,97823
614,3420,2021-03-28,1991-02-21,39152
615,4619,1997-03-20,2010-12-18,95190
616,2336,2022-10-05,1980-08-03,29210
617,4124,2012-01-19,1974-01-13,47127
618,4341,2004-03-16,1995-05-10,92663
619,3702,1980-02-04,2016-01-02,40314
620,4848,1990-01-22,2010-09-23,78048
621,1684,1974-11-30,1986-08-16,20894
622,2854,1976-11-28,2021-10-23,97007
623,2953,1994-10-04,1994-09-03,52103
624,17,1972-08-17,2001-10-12,36024
625,716,2000-02-15,1972-01-09,78016
626,3032,1971-12-17,2017-02-27,18784
627,2501,1982-03-07,1995-05-19,88821
628,4645,2009-05-17,1987-11-04,52505
629,3882,2009-12-25,1973-01-27,9541
630,127,1984-08-16,1990-09-13,36235
631,395,1981-07-16,2000-09-02,17295
632,637,1998-05-20,1987-04-05,82485
633,4673,1971-07-07,2008-12-08,70369
634,4212,2015-04-29,2009-03-12,26086
635,1128,1977-05-01,1994-10-08,60284
636,4517,1986-08-26,2009-11-20,79685
637,4682,2006-01-07,2019-11-09,22889
638,1224,2021-05-11,1994-03-25,14975
639,2176,2018-02-15,1974-08-23,14563
640,4315,1987-11-23,2006-07-19,1019
